poi_id,name,theme,class_name,subclass_n,x,y,geom
1,ΑΒ ΒΑΣΙΛΟΠΟΥΛΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,481319.9089,4208285.7605,MULTIPOINT (481319.9089000002 4208285.760500001)
2,NEOGENESIS ΕΠΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481353.0814,4208322.2381,MULTIPOINT (481353.0813999996 4208322.2381)
3,ΦΑΡΜΑΚΕΙΟ ΣΠΑΝΟΥΔΗ ΣΟΦΙΑ & ΣΙΑ ΟΕ,Περίθαλψη,Φαρμακεία,_,481164.3399,4208380.6565,MULTIPOINT (481164.3399 4208380.656500001)
4,ΚΕΝΤΡΟ ΑΝΘΡΩΠΙΝΗΣ ΑΝΑΠΑΡΑΓΩΓΗΣ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481358.0307,4208393.9571,MULTIPOINT (481358.0307 4208393.9571)
5,DOMINO'S PIZZA,Φαγητό και ποτό,Εστιατόρια,Πιτσαρίες,481356.7993,4208442.0986,MULTIPOINT (481356.7993000001 4208442.0986)
6,REINA,Διασκέδαση,Κλαμπ,_,481356.7993,4208442.0986,MULTIPOINT (481356.7993000001 4208442.0986)
7,BP,Αυτοκίνηση,Πρατήρια βενζίνης,_,481030.7661,4208504.5856,MULTIPOINT (481030.7660999997 4208504.5856)
8,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481313.4896,4208528.0574,MULTIPOINT (481313.4896 4208528.057399999)
9,ΖΥΘΟΣ,Φαγητό και ποτό,Εστιατόρια,Μπυραρίες,481373.6034,4208538.1299,MULTIPOINT (481373.6034000004 4208538.129899999)
10,NAUTICA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,480960.4393,4208547.8786,MULTIPOINT (480960.4392999997 4208547.878599999)
11,MEDICANALYSIS ΕΠΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481247.5374,4208573.429,MULTIPOINT (481247.5373999998 4208573.429)
12,ΒΙΟΑΝΑΛΥΤΙΚΗ ΑΠΕΙΚΟΝΙΣΗ ΑΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481261.6147,4208605.4589,MULTIPOINT (481261.6146999998 4208605.458900001)
13,ΦΑΡΜΑΚΕΙΟ ΑΣΗΜΑΚΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,Περίθαλψη,Φαρμακεία,_,481267.8865,4208616.686,MULTIPOINT (481267.8865 4208616.686000001)
14,ΦΑΡΜΑΚΕΙΟ ΦΩΤΟΠΟΥΛΟΥ - ΧΡΥΣΟΧΟΟΥ ΑΜΑΛΙΑ,Περίθαλψη,Φαρμακεία,_,481355.7756,4208639.1126,MULTIPOINT (481355.7756000003 4208639.112600001)
15,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481362.7129,4208642.2248,MULTIPOINT (481362.7128999997 4208642.2248)
16,CITIBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,480813.6693,4208645.7286,MULTIPOINT (480813.6693000002 4208645.728599999)
17,ΔΙΑΓΝΩΣΤΙΚΕΣ ΑΠΕΙΚΟΝΙΣΕΙΣ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481369.8523,4208646.719,MULTIPOINT (481369.8523000004 4208646.719000001)
18,ΛΙΘΟΤΡΙΠΤΗΣ ΣΤΟ ΥΓΕΙΑ ΑΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481369.8523,4208646.719,MULTIPOINT (481369.8523000004 4208646.719000001)
19,ΥΓΕΙΑ - ΟΦΘΑΛΜΟΣ ΑΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481369.8523,4208646.719,MULTIPOINT (481369.8523000004 4208646.719000001)
20,ΥΓΕΙΑ ΔΙΑΓΝΩΣΤΙΚΟΝ & ΘΕΡΑΠΕΥΤΙΚΟΝ ΚΕΝΤΡΟ ΑΘΗΝΩΝ Α,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,481369.8523,4208646.719,MULTIPOINT (481369.8523000004 4208646.719000001)
21,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (MARFIN EGNATIA BANK),Επιχειρήσεις,Τράπεζες,Καταστήματα,481369.8523,4208646.719,MULTIPOINT (481369.8523000004 4208646.719000001)
22,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,481331.2679,4208673.0281,MULTIPOINT (481331.2679000003 4208673.028100001)
23,ALPHA BANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,481335.9321,4208676.5027,MULTIPOINT (481335.9320999999 4208676.502699999)
24,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481340.2006,4208680.3688,MULTIPOINT (481340.2006000001 4208680.368799999)
25,BP,Αυτοκίνηση,Πρατήρια βενζίνης,_,480775.4328,4208691.5325,MULTIPOINT (480775.4327999996 4208691.532500001)
26,ΥΓΕΙΑ ΘΕΡΑΠΕΥΤΙΚΟ ΚΕΝΤΡΟ,Περίθαλψη,Νοσοκομεία,Ιδιωτικά νοσοκομεία,481404.6618,4208724.3815,MULTIPOINT (481404.6617999999 4208724.3815)
27,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (ATE BANK),Επιχειρήσεις,Τράπεζες,Καταστήματα,481321.5349,4208748.745,MULTIPOINT (481321.5349000003 4208748.744999999)
28,ΠΑΝΑΓΙΤΣΑ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,480804.9717,4208769.4991,MULTIPOINT (480804.9716999996 4208769.4991)
29,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481283.9316,4208780.4908,MULTIPOINT (481283.9315999998 4208780.490800001)
30,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481250.0775,4208799.6144,MULTIPOINT (481250.0774999997 4208799.614399999)
31,ΜΑΙΕΥΤΗΡΙΟ ΜΗΤΕΡΑ,Περίθαλψη,Κλινικές,Μαιευτήρια,481348.6864,4208800.8978,MULTIPOINT (481348.6864 4208800.8978)
32,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,481212.4681,4208823.5083,MULTIPOINT (481212.4681000002 4208823.508300001)
33,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,480693.4389,4208833.0678,MULTIPOINT (480693.4389000004 4208833.0678)
34,ΜΟΥΣΕΙΟ DESIGN TOY 20OΥ ΑΙΩΝΑ,Τουρισμός και αξιοθέατα,Μουσεία,_,481217.563,4208890.7001,MULTIPOINT (481217.5630000001 4208890.700099999)
35,TECHNAL PLAZA,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,481237.1793,4208922.8186,MULTIPOINT (481237.1793 4208922.818600001)
36,SUZUKI,Αυτοκίνηση,Εμπόριο και υπηρεσίες αυτοκινήτων,_,481628.5204,4208925.9652,MULTIPOINT (481628.5203999998 4208925.9652)
37,ΦΑΡΜΑΚΕΙΟ ΣΤΡΑΤΗΓΕΑ ΜΑΡΙΑ - ΦΙΛΙΑ,Περίθαλψη,Φαρμακεία,_,483306.6941,4209039.5058,MULTIPOINT (483306.6941 4209039.505799999)
38,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483190.9193,4209056.0928,MULTIPOINT (483190.9193000002 4209056.092800001)
39,ΝΕΑ ΦΙΛΟΘΕΗ ΑΜΑΡΟΥΣΙΟΥ,Διάφορα,Σημεία γενικού ενδιαφέροντος,Γειτονιές,481119.51,4208945.31,MULTIPOINT (481119.5099999998 4208945.310000001)
40,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 1Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,480976.3055,4208947.3916,MULTIPOINT (480976.3054999998 4208947.3916)
41,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΕΒΔΟΜΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,481244.0869,4208963.4055,MULTIPOINT (481244.0869000005 4208963.4055)
42,ΟΓΔΟΟ ΓΥΜΝΑΣΙΟ ΑΜΑΡΟΥΣΙΟΥ,Εκπαίδευση,Δευτεροβάθμια,Γυμνάσια,481131.8121,4209009.1894,MULTIPOINT (481131.8120999997 4209009.1894)
43,ΕΝΑΤΟ ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΜΑΡΟΥΣΙΟΥ,Εκπαίδευση,Δευτεροβάθμια,Λύκεια,481131.8121,4209009.1894,MULTIPOINT (481131.8120999997 4209009.1894)
44,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,481124.9993,4209063.9986,MULTIPOINT (481124.9993000003 4209063.998600001)
45,ΑΣΤΥΝΟΜΙΚΟ ΤΜΗΜΑ ΑΜΑΡΟΥΣΙΟΥ,Δημόσιος τομέας,Αστυνομία,Αστυνομικά τμήματα,481314.8828,4209074.5227,MULTIPOINT (481314.8827999998 4209074.522700001)
46,ΦΑΡΜΑΚΕΙΟ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ Β.,Περίθαλψη,Φαρμακεία,_,480636.9152,4209076.8137,MULTIPOINT (480636.9151999997 4209076.8137)
47,ΦΑΡΜΑΚΕΙΟ ΜΟΙΡΑΓΙΑ ΧΡΙΣΤΙΝΑ,Περίθαλψη,Φαρμακεία,_,482835.799,4209077.9642,MULTIPOINT (482835.7989999996 4209077.964199999)
48,ΜΠΟΥΚΟΥΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483019.7613,4209205.3637,MULTIPOINT (483019.7613000004 4209205.363700001)
49,ΒΙΟΛΟΓΙΚΑ ΠΡΟΪΟΝΤΑ ΠΑΝ. ΑΓΑΘΟΝ,Αγαθά - υπηρεσίες,Καταστήματα,_,483613.0429,4209215.0353,MULTIPOINT (483613.0428999998 4209215.0353)
50,ΦΑΡΜΑΚΕΙΟ ΖΑΦΕΙΡΑΤΟΥ ΕΛΕΝΗ,Περίθαλψη,Φαρμακεία,_,483613.0429,4209215.0353,MULTIPOINT (483613.0428999998 4209215.0353)
51,ΠΡΟΜΗΘΕΥΤΙΚΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483217.1693,4209104.2686,MULTIPOINT (483217.1693000002 4209104.2686)
52,ΤΑΜΕΙΟ ΟΤΕ ΑΘΗΝΩΝ ΤΑΠΟΤΕ,Δημόσιος τομέας,Δημόσιες υπηρεσίες,Ασφαλιστικά ταμεία,481459.679,4209110.9903,MULTIPOINT (481459.6789999995 4209110.9903)
53,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,482862.1556,4209120.4986,MULTIPOINT (482862.1556000002 4209120.498600001)
54,SUZUKI,Αυτοκίνηση,Εμπόριο και υπηρεσίες αυτοκινήτων,_,481768.8546,4209123.3413,MULTIPOINT (481768.8546000002 4209123.3413)
55,ΚΗΦΙΣΙΑΣ ΛΕΩΦΟΡΟΣ - ΡΙΖΑΡΕΙΟΥ,Αυτοκίνηση,Στοιχεία δικτύου,Κόμβοι,481787.3101,4209135.0921,MULTIPOINT (481787.3101000004 4209135.0921)
56,ΚΑΒΑ ΡΑΜΠΑΟΥΝΗΣ ΝΙΚΟΛΑΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,_,482817.2036,4209150.8316,MULTIPOINT (482817.2035999997 4209150.831599999)
57,ΦΑΡΜΑΚΕΙΟ ΚΑΡΑΓΕΩΡΓΟΥ ΚΑΤΕΡΙΝΑ,Περίθαλψη,Φαρμακεία,_,480924.1718,4209173.0059,MULTIPOINT (480924.1717999997 4209173.005899999)
58,ΛΕΩΝΙΔΟΠΟΥΛΟΣ ΛΕΩΝΙΔΑΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483572.1593,4209182.4486,MULTIPOINT (483572.1593000004 4209182.4486)
59,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 6Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,483691.5134,4209202.292,MULTIPOINT (483691.5133999996 4209202.291999999)
60,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΔΕΚΑΤΟ ΤΡΙΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,483691.5134,4209202.292,MULTIPOINT (483691.5133999996 4209202.291999999)
61,PUBLIC,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Πολυκαταστήματα,481715.6878,4209218.9253,MULTIPOINT (481715.6878000004 4209218.9253)
62,ARGENTOVIVO,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481723.0926,4209221.9591,MULTIPOINT (481723.0926000001 4209221.959100001)
63,ANNE KLEIN,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481707.2703,4209229.0519,MULTIPOINT (481707.2703 4209229.051899999)
64,FINE ARTS - ΚΑΠΟΠΟΥΛΟΣ,Πολιτισμός,Χώροι τέχνης,_,481730.1798,4209233.9612,MULTIPOINT (481730.1798 4209233.961200001)
65,ΠΛΑΤΕΙΑ ΗΡΩΩΝ 1940,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,483579.8327,4209234.3536,MULTIPOINT (483579.8327000001 4209234.353599999)
66,ATTICA GOLDEN,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481690.9023,4209238.327,MULTIPOINT (481690.9023000002 4209238.327)
67,ΟΓΔΟΟ ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΜΑΡΟΥΣΙΟΥ,Εκπαίδευση,Δευτεροβάθμια,Λύκεια,483128.8542,4209239.5731,MULTIPOINT (483128.8541999999 4209239.573100001)
68,EPAVLIS,Αγαθά - υπηρεσίες,Καταστήματα,Είδη σπιτιού,482668.4893,4209242.9386,MULTIPOINT (482668.4892999995 4209242.9386)
69,ΧΡΙΣΤΟΦΟΡΟΣ,Φαγητό και ποτό,Ταβέρνες,Ψαροταβέρνες,482324.4208,4209243.5733,MULTIPOINT (482324.4208000004 4209243.5733)
70,FURLA,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481674.5344,4209247.6022,MULTIPOINT (481674.5344000002 4209247.6022)
71,GOLDEN HALL,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,_,481753.6461,4209248.1478,MULTIPOINT (481753.6460999995 4209248.1478)
72,GAP KIDS / BABYS,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481658.712,4209255.7862,MULTIPOINT (481658.7120000003 4209255.7862)
73,BOGGI,Αγαθά - υπηρεσίες,Καταστήματα,_,481741.0974,4209256.3318,MULTIPOINT (481741.0974000003 4209256.331800001)
74,BRIC'S,Αγαθά - υπηρεσίες,Καταστήματα,_,481726.9118,4209263.9701,MULTIPOINT (481726.9117999999 4209263.970100001)
75,GUESS,Αγαθά - υπηρεσίες,Εμπορικά κέντρα,Αλυσίδες καταστημάτων,481643.4353,4209263.9702,MULTIPOINT (481643.4353 4209263.9702)
76,ΓΕΩΡΓΑΚΛΗΣ ΙΩΑΝΝΗΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483412.1218,4209265.3593,MULTIPOINT (483412.1217999998 4209265.359300001)
77,RUNNER STORE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Αθλητικά είδη,481748.1297,4209265.3997,MULTIPOINT (481748.1297000004 4209265.399700001)
78,ILIAS LALAOUNIS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Κοσμήματα,481629.7953,4209271.6085,MULTIPOINT (481629.7953000003 4209271.6085)
79,COACH,Αγαθά - υπηρεσίες,Καταστήματα,_,481709.9982,4209273.7909,MULTIPOINT (481709.9982000003 4209273.790899999)
80,WHISPERS OF WINE,Φαγητό και ποτό,Εστιατόρια,Ιταλική κουζίνα,480948.6114,4209274.9389,MULTIPOINT (480948.6113999998 4209274.938899999)
81,IANOS ART SHOP,Πολιτισμός,Χώροι τέχνης,_,481753.6468,4209275.9804,MULTIPOINT (481753.6468000002 4209275.9804)
82,ACCESSORIZE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Αξεσουάρ,481615.1453,4209277.6548,MULTIPOINT (481615.1453 4209277.6548)
83,ΠΡΕΣΣΑ ΜΑΡΙΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483633.5506,4209280.5265,MULTIPOINT (483633.5505999997 4209280.5265)
84,ΕΒΔΟΜΟ ΓΥΜΝΑΣΙΟ ΑΜΑΡΟΥΣΙΟΥ,Εκπαίδευση,Δευτεροβάθμια,Γυμνάσια,483089.738,4209281.5985,MULTIPOINT (483089.7379999999 4209281.5985)
85,COFFEEWAY,Αγαθά - υπηρεσίες,Καταστήματα,_,481691.4479,4209283.0661,MULTIPOINT (481691.4479 4209283.066099999)
86,LONGCHAMP BOUTIQUE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Αξεσουάρ,481599.2418,4209286.8853,MULTIPOINT (481599.2418 4209286.885299999)
87,DANESI COFFEE HOUSE,Αγαθά - υπηρεσίες,Καταστήματα,_,481677.2624,4209291.2501,MULTIPOINT (481677.2624000004 4209291.2501)
88,BACCARAT,Αγαθά - υπηρεσίες,Καταστήματα,_,481582.3282,4209296.1605,MULTIPOINT (481582.3282000003 4209296.160499999)
89,BERSHKA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481765.6493,4209298.8884,MULTIPOINT (481765.6492999997 4209298.8884)
90,EVITA PERONI,Αγαθά - υπηρεσίες,Καταστήματα,_,481660.3488,4209299.4341,MULTIPOINT (481660.3487999998 4209299.4341)
91,BANG & OLUFSEN,Αγαθά - υπηρεσίες,Καταστήματα,_,481566.5059,4209304.89,MULTIPOINT (481566.5059000002 4209304.890000001)
92,CALVIN KLEIN JEANS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481750.9181,4209306.5268,MULTIPOINT (481750.9181000004 4209306.526799999)
93,EYE Q ΣΥΚΑΡΑΣ,Αγαθά - υπηρεσίες,Καταστήματα,_,481646.7088,4209307.618,MULTIPOINT (481646.7088000001 4209307.618000001)
94,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,483352.9525,4209310.3062,MULTIPOINT (483352.9524999997 4209310.3062)
95,ELEVEN,Διασκέδαση,Μπαρ,Μπαρ-Εστιατόρια,480850.8266,4209312.5977,MULTIPOINT (480850.8266000003 4209312.5977)
96,BALLY,Αγαθά - υπηρεσίες,Καταστήματα,_,481550.1379,4209313.6196,MULTIPOINT (481550.1379000004 4209313.6196)
97,COLORI,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481737.2782,4209314.7108,MULTIPOINT (481737.2781999996 4209314.7108)
98,FREE SHOP,Αγαθά - υπηρεσίες,Καταστήματα,_,481630.3409,4209316.8932,MULTIPOINT (481630.3409000002 4209316.893200001)
99,CORNELIANI,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481723.6382,4209321.8036,MULTIPOINT (481723.6381999999 4209321.8036)
100,ΕΛΛΗΝΙΚΟΣ ΙΠΠΙΚΟΣ ΟΜΙΛΟΣ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,482308.4553,4209322.206,MULTIPOINT (482308.4552999996 4209322.206)
101,HOGAN,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,481532.1332,4209322.8948,MULTIPOINT (481532.1332 4209322.8948)
102,SIDER,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,481963.4393,4209326.4586,MULTIPOINT (481963.4392999997 4209326.4586)
103,GRAND OPTICAL,Αγαθά - υπηρεσίες,Καταστήματα,_,481613.4274,4209326.714,MULTIPOINT (481613.4274000004 4209326.714)
104,GEOX,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,481515.2197,4209331.0787,MULTIPOINT (481515.2197000002 4209331.0787)
105,DEHA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481706.7246,4209331.0788,MULTIPOINT (481706.7246000003 4209331.0788)
106,ΒΟΥΛΚΑΝΙΖΑΤΕΡ ΠΟΥΠΑΚΗΣ,Αυτοκίνηση,Συνεργεία αυτοκινήτων,_,484059.3529,4209331.5375,MULTIPOINT (484059.3529000003 4209331.5375)
107,ΠΛΑΤΕΙΑ ΓΟΥΝΑΡΗ ΝΙΚOΥ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,482576.8434,4209333.0199,MULTIPOINT (482576.8433999997 4209333.0199)
108,IL BARRETTO,Αγαθά - υπηρεσίες,Καταστήματα,_,481597.605,4209335.9891,MULTIPOINT (481597.6050000004 4209335.9891)
109,CAMPER SHOP,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,481500.4885,4209339.2627,MULTIPOINT (481500.4885 4209339.262700001)
110,DKNY JEANS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481690.9023,4209339.2627,MULTIPOINT (481690.9023000002 4209339.262700001)
111,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,482211.6769,4209340.3051,MULTIPOINT (482211.6769000003 4209340.3051)
112,HELEXPO,Διάφορα,Χώροι εκδηλώσεων,Εκθεσιακοί χώροι,481912.4049,4209340.9454,MULTIPOINT (481912.4049000004 4209340.9454)
113,ΦΑΡΜΑΚΕΙΟ ΒΛΑΧΟΣ ΠΑΝΤΕΛΗΣ,Περίθαλψη,Φαρμακεία,_,482161.127,4209343.6957,MULTIPOINT (482161.1270000003 4209343.695699999)
114,LAPIN HOUSE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Παιδικά - είδη εγκυμοσύνης,481489.0309,4209345.8099,MULTIPOINT (481489.0308999997 4209345.809900001)
115,IMAGE,Αγαθά - υπηρεσίες,Καταστήματα,_,481577.9635,4209346.3555,MULTIPOINT (481577.9634999996 4209346.3555)
116,AMADEUS,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,_,481926.4982,4209346.8169,MULTIPOINT (481926.4982000003 4209346.8169)
117,ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ,Επιχειρήσεις,Τράπεζες,Καταστήματα,481971.0598,4209346.8892,MULTIPOINT (481971.0597999999 4209346.8892)
118,DIESEL,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481677.2624,4209347.9923,MULTIPOINT (481677.2624000004 4209347.9923)
119,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,482113.4113,4209351.0531,MULTIPOINT (482113.4112999998 4209351.053099999)
120,ALPHA ROMEO,Αυτοκίνηση,Εμπόριο και υπηρεσίες αυτοκινήτων,_,481977.4622,4209351.099,MULTIPOINT (481977.4622 4209351.098999999)
121,FIAT,Αυτοκίνηση,Εμπόριο και υπηρεσίες αυτοκινήτων,_,481977.4622,4209351.099,MULTIPOINT (481977.4622 4209351.098999999)
122,KIDALLOON,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Παιδικά - είδη εγκυμοσύνης,481477.5734,4209353.9939,MULTIPOINT (481477.5734000001 4209353.993899999)
123,EPONYMO,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481662.5312,4209354.5395,MULTIPOINT (481662.5312000001 4209354.5395)
124,IMAGINARIUM,Αγαθά - υπηρεσίες,Καταστήματα,_,481561.5955,4209357.2675,MULTIPOINT (481561.5954999998 4209357.2675)
125,BOSCH,Πολιτισμός,Χώροι τέχνης,_,481979.0374,4209357.4934,MULTIPOINT (481979.0373999998 4209357.4934)
126,ΑΓΡΙΛΙ,Φαγητό και ποτό,Εστιατόρια,Ελληνική κουζίνα,481984.9993,4209357.9986,MULTIPOINT (481984.9993000003 4209357.998600001)
127,ΦΑΡΜΑΚΕΙΟ ΣΕΡΕΤΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,Περίθαλψη,Φαρμακεία,_,484064.9623,4209363.3719,MULTIPOINT (484064.9622999998 4209363.3719)
128,FACONNABLE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481646.7088,4209363.8146,MULTIPOINT (481646.7088000001 4209363.8146)
129,FRATTINA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Παιδικά - είδη εγκυμοσύνης,481478.6646,4209364.3602,MULTIPOINT (481478.6645999998 4209364.360200001)
130,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 19Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,482460.7685,4209367.1774,MULTIPOINT (482460.7685000002 4209367.1774)
131,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΕΚΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,482460.7685,4209367.1774,MULTIPOINT (482460.7685000002 4209367.1774)
132,LEGO,Αγαθά - υπηρεσίες,Καταστήματα,_,481546.3188,4209367.6338,MULTIPOINT (481546.3187999995 4209367.6338)
133,ΡΑΔΙΟΦΩΝΙΚΟΣ ΣΤΑΘΜΟΣ ΡΥΘΜΟΣ 94.9,Επιχειρήσεις,Επιχειρήσεις,_,482079.7037,4209368.7862,MULTIPOINT (482079.7037000004 4209368.7862)
134,CLUB ΠΟΛΥΔΡΟΣΟ,Διάφορα,Χώροι εκδηλώσεων,Αίθουσες εκδηλώσεων,482868.9396,4209371.8719,MULTIPOINT (482868.9396000002 4209371.8719)
135,GANT,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481630.3409,4209373.0898,MULTIPOINT (481630.3409000002 4209373.0898)
136,LOEWE,Αγαθά - υπηρεσίες,Καταστήματα,_,481529.9508,4209376.3634,MULTIPOINT (481529.9507999998 4209376.363399999)
137,LA MARTINA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481615.6097,4209380.1826,MULTIPOINT (481615.6096999999 4209380.182600001)
138,ΠΟΛΥΔΡΟΣΟ ΑΜΑΡΟΥΣΙΟΥ,Διάφορα,Σημεία γενικού ενδιαφέροντος,Γειτονιές,483342.5,4209383.95,MULTIPOINT (483342.5 4209383.949999999)
139,MANDARINA DUCK,Αγαθά - υπηρεσίες,Καταστήματα,_,481517.9477,4209384.5474,MULTIPOINT (481517.9477000004 4209384.5474)
140,SATO,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,482006.9793,4209389.7986,MULTIPOINT (482006.9792999998 4209389.798599999)
141,PAGE,Διασκέδαση,Καφετέριες,_,482006.9993,4209389.9986,MULTIPOINT (482006.9993000003 4209389.998600001)
142,PAGE,Διασκέδαση,Κλαμπ,_,482006.9993,4209389.9986,MULTIPOINT (482006.9993000003 4209389.998600001)
143,KESSARIS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Κοσμήματα,481491.2133,4209391.0946,MULTIPOINT (481491.2132999999 4209391.094599999)
144,LACOSTE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,481599.2418,4209391.0946,MULTIPOINT (481599.2418 4209391.094599999)
145,SEPHORA,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,481505.7594,4209392.5768,MULTIPOINT (481505.7593999999 4209392.5768)
